	Chlorophyll-a	Chlorophyll-b	DV chlorophyll-a	Chlorophyllide-a	Phaeophorbide-a	Phaeophytin-a	Chlorophyll C3	chlorophyll c2
656.8	0.015147747	0.00533408	0.014307367	0.019140326	0.010391697	0.007647106	0.000329355	0.000329355
655.9	0.014021199	0.00601202	0.013129988	0.017701533	0.009522263	0.007001702	0.000384527	0.000384527
655.1	0.012850325	0.006662048	0.011904506	0.016321556	0.008712606	0.006399352	0.000377088	0.000377088
654.2	0.011768713	0.007291658	0.010768548	0.014994939	0.007932592	0.005804298	0.000371686	0.000371686
653.4	0.010663614	0.007975533	0.009673954	0.013698022	0.007202279	0.00528449	0.000369754	0.000369754
652.5	0.00966667	0.008650928	0.008703789	0.01250345	0.006565858	0.004799603	0.00038624	0.00038624
651.7	0.008701356	0.009297633	0.007771174	0.011379059	0.005954563	0.00433356	0.000419945	0.000419945
650.8	0.007880013	0.00990853	0.00697545	0.010409771	0.005412762	0.003945514	0.00045784	0.00045784
650.0	0.007009475	0.010388533	0.006236093	0.009504501	0.004933182	0.003606246	0.000468168	0.000468168
649.1	0.006363622	0.01091003	0.005651653	0.008696395	0.004506105	0.003268753	0.000517788	0.000517788
648.3	0.005718014	0.011244284	0.005042582	0.007950314	0.004130246	0.003000687	0.000513559	0.000513559
647.4	0.005168877	0.011518982	0.004596446	0.007356847	0.003789322	0.002750692	0.000575003	0.000575003
646.6	0.004707051	0.011686193	0.004140644	0.006824203	0.003507835	0.002545395	0.000592771	0.000592771
645.7	0.004337788	0.011686453	0.003824657	0.006334267	0.00326488	0.002351395	0.000680312	0.000680312
644.9	0.003967369	0.011589927	0.003494683	0.005952908	0.003038794	0.00220504	0.000711013	0.000711013
644.0	0.003672325	0.011393837	0.00327325	0.005602999	0.002860074	0.002045816	0.00080918	0.00080918
643.1	0.003407799	0.011030303	0.003017318	0.005261877	0.002698866	0.001933902	0.000782368	0.000782368
642.3	0.003220193	0.010636353	0.002885863	0.005049937	0.002564839	0.001828166	0.000942498	0.000942498
641.4	0.0030251	0.010195633	0.002713361	0.004872659	0.002446478	0.001775824	0.000932736	0.000932736
640.6	0.002961966	0.009867109	0.002677115	0.004687442	0.002377584	0.001714052	0.001043481	0.001043481
639.7	0.002798003	0.00921424	0.00252974	0.004509408	0.002303236	0.001650519	0.001065701	0.001065701
638.9	0.002706968	0.008441471	0.002512433	0.004441252	0.002199163	0.001573106	0.001301908	0.001301908
